year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,NaN,NaN,-0.67132,601.32,461.34,413.74,2.1
1992,2,NaN,NaN,-0.62988,602.27,461.73,413.99,1.89
1992,3,NaN,NaN,-0.69844,600.07,462.44,414.23,1.71
1992,4,NaN,NaN,-0.937,602.8,462.58,414.5,1.73
1992,5,NaN,NaN,-0.83555,602.92,462.3,414.64,1.74
1992,6,NaN,NaN,-0.88411,601.15,463.68,414.81,1.79
1992,7,NaN,NaN,-1.3827,605.02,463.69,415.14,2
1992,8,NaN,NaN,-1.3212,602.59,463.55,415.28,2.06
1992,9,NaN,NaN,-1.3898,603.5,463.83,415.44,2.2
1992,10,NaN,NaN,-1.4983,603.72,464.25,415.79,2.25
1992,11,NaN,NaN,-1.4969,606.7,464.7,415.99,2.09
1992,12,NaN,NaN,-1.6554,607.7,465.19,416.16,2.04
1993,1,NaN,NaN,-1.544,608.4,464.86,416.41,2.07
1993,2,NaN,NaN,-1.5226,609.45,465.05,416.56,2.13
1993,3,NaN,NaN,-1.4711,611.3,464.65,416.76,2.17
1993,4,NaN,NaN,-1.5697,608.72,464.97,417.03,2.17
1993,5,NaN,NaN,-1.5182,610.97,465.49,417.34,2.17
1993,6,NaN,NaN,-1.4668,611.04,465.61,417.37,2.11
1993,7,NaN,NaN,-1.4353,610.5,465.42,417.53,2.12
1993,8,NaN,NaN,-1.4539,613.9,465.85,417.7,1.92
1993,9,NaN,NaN,-1.3825,612.88,466.69,417.8,1.98
1993,10,NaN,NaN,-1.471,614.8,466.45,418.12,1.98
1993,11,NaN,NaN,-1.4296,613.51,467.57,418.31,1.94
1993,12,NaN,NaN,-1.4781,614.5,467.9,418.33,1.92
1994,1,NaN,NaN,-1.3767,617.71,468.06,418.36,1.9
1994,2,0.13344,-0.64105,-1.1652,614.65,468.51,418.6,1.79
1994,3,-0.030961,0.29613,-1.0638,609.99,468.61,418.87,1.65
1994,4,0.12949,-0.68128,-0.83236,611.12,469.01,418.99,1.55
1994,5,-0.014239,0.52219,-0.37091,612.36,470.29,419.13,1.44
1994,6,0,0,-0.11947,609.65,469.7,419.38,1.55
1994,7,-0.015888,-0.22844,-0.098028,612.75,469.86,419.69,1.5
1994,8,0.036739,0.25704,0.12342,616.44,470.35,419.92,1.5
1994,9,-0.03143,-0.17136,0.39486,613.71,470.11,420.03,1.52
1994,10,0,0,0.4363,615.78,471.12,420.2,1.46
1994,11,0.064044,-0.44889,0.97774,611.74,470.96,420.39,1.36
1994,12,-0.049028,0.10486,1.1492,612.97,471.88,420.46,1.29
1995,1,0,0,1.2406,615.36,472.17,420.66,1.3
1995,2,0.054126,-0.25438,1.6421,618.91,471.28,420.84,1.38
1995,3,0.01786,-0.15511,1.7135,621.6,471.73,421.02,1.5
1995,4,0,0,1.795,624.36,471.51,421.28,1.54
1995,5,-0.0096996,-0.04189,1.7664,627.93,471.64,421.44,1.57
1995,6,0,0,1.7678,630.04,472.62,421.53,1.73
1995,7,-0.24077,0.2993,1.6293,633.17,472.33,421.66,1.76
1995,8,0.041861,-0.18269,1.5307,633.13,472.69,421.87,1.7
1995,9,0.061176,-0.16138,1.6022,637.06,473.53,421.94,1.73
1995,10,0,0,1.5736,636.56,473.31,422.2,1.71
1995,11,0.023893,-0.06111,1.6251,640.59,473.32,422.2,1.75
1995,12,-0.052983,0.25709,1.4365,642.31,474.09,422.39,1.78
1996,2,-0.043742,0.05541,1.4079,645.52,474.09,422.61,1.82
1996,3,0,0,1.0794,646.21,474.09,422.77,1.82
1996,4,0.017322,0.15989,1.1808,647,474.55,423.07,1.76
1996,5,0,0,1.1023,648.34,475.66,423.37,1.68
1996,6,0.017335,-0.19289,1.1337,650.59,475.29,423.54,1.56
1996,7,0,0,1.1752,650.82,475.97,423.54,1.49
1996,8,-0.029481,0.1534,1.3166,646.15,476.2,423.75,1.48
1996,9,-0.0030356,-0.1306,1.1481,648,476.4,423.85,1.54
1996,10,-0.11255,0.00873,1.2395,653.28,476.71,424.13,1.52
1996,11,0,0,1.1909,655.86,477.37,424.43,1.54
1996,12,-0.014598,0.25457,1.2724,662.94,477.57,424.61,1.59
1997,1,-0.0052545,-0.06073,1.2638,660.76,477.03,424.73,1.59
1997,2,0,0,1.2353,666.72,477.65,424.86,1.51
1997,3,0.0013983,-0.30367,1.1867,667.3,478.36,425.07,1.52
1997,4,0.062688,-0.45395,1.3982,662.95,478.35,425.17,1.49
1997,5,0,0,1.5296,668.62,479.65,425.27,1.45
1997,6,-0.076841,0.48372,1.531,674.32,479.28,425.22,1.49
1997,7,0,0,1.6025,678.57,480.23,425.35,1.53
1997,8,-0.011257,0.1788,1.5739,686.1,480.78,425.41,1.53
1997,9,0.0058442,-0.37221,1.6054,680.18,481.11,425.49,1.52
1997,10,-0.010417,-0.19196,1.6168,685.36,481.52,425.73,1.49
1997,11,0,0,1.5883,681.85,481.8,425.86,1.54
1997,12,-0.034999,-0.3511,1.6197,686.21,481.66,425.87,1.54
1998,1,-0.0041991,-0.08456,1.6111,687.77,482.55,425.85,1.51
1998,2,0,0,1.6826,688.79,482.04,425.9,1.65
1998,3,0.022944,-0.19164,1.644,695.59,483.48,425.84,1.68
1998,4,-0.00038669,-0.13567,1.6355,700.47,483.88,425.86,1.67
1998,5,0,0,1.6069,701.37,483.68,425.98,1.69
1998,6,-0.020624,-0.12953,1.6584,699.47,483.86,426.12,1.65
1998,7,0,0,1.7398,703.33,484.8,426.04,1.63
1998,8,-0.017471,0.02716,1.7312,702.17,484.77,426.28,1.69
1998,9,0.0062418,0.04839,1.7527,686.41,485.19,426.42,1.8
1998,10,0.036304,-0.6975,1.7241,692.46,486.47,426.36,2.28
1998,11,-0.2015,2.095,1.2956,700.19,486.84,426.58,2.65
1998,12,-0.03374,0.63962,1.067,705.93,487.27,426.59,2.51
1999,1,-0.008136,-0.1237,0.92846,711.41,487.18,426.69,2.58
1999,2,0,0,0.88991,715.43,487.57,426.83,2.57
1999,3,0.010069,0.17015,1.0313,712.15,488.19,426.77,2.39
1999,4,-0.025734,-0.16838,1.0928,715.96,488.7,426.85,2.3
1999,5,0,0,1.0342,719.68,488.53,427.33,2.3
1999,6,0.10265,-1.3856,1.0457,717.15,488.9,427.39,2.18
